"player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game","school"
"Goodness Nwakudu","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",6,5,4,7,10,5,1.2,1,0.8,1.4,2,"USCS"
"Ethan Lavallee","Division 3","Men","Division 3 Men","Middlebury Pranksters",4,1,11,2,10,5,0.8,0.2,2.2,0.4,2,"Middlebury"
"Eric Treyz","Division 3","Men","Division 3 Men","Bates Orange Whip",6,0,9,7,10,6,1,0,1.5,1.166666667,1.666666667,"Bates"
"Emily Mulhern","Division 3","Women","Division 3 Women","St Olaf Vortex",20,7,21,2,10,5,4,1.4,4.2,0.4,2,"St Olaf"
"Dexter Luecke","Division 1","Men","Division 1 Men","Colorado Mambird",2,1,5,6,10,7,0.285714286,0.142857143,0.714285714,0.857142857,1.428571429,"Colorado"
"Carter Lankford","Division 1","Men","Division 1 Men","Cal Ursa Major",1,2,1,8,10,5,0.2,0.4,0.2,1.6,2,"Cal"
"Brian Trowbridge","Division 1","Men","Division 1 Men","North Carolina Darkside",1,3,0,8,10,6,0.166666667,0.5,0,1.333333333,1.666666667,"North Carolina"
"Braque Pike","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",14,2,10,12,10,6,2.333333333,0.333333333,1.666666667,2,1.666666667,"Oberlin"
"Benjamin Payson","Division 1","Men","Division 1 Men","Vermont Chill",3,1,4,8,10,5,0.6,0.2,0.8,1.6,2,"Vermont"
"Avery Goldstein","Division 3","Women","Division 3 Women","Middlebury Pranksters",6,2,3,11,10,5,1.2,0.4,0.6,2.2,2,"Middlebury"
"Alex Yannelli","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",0,1,3,6,10,7,0,0.142857143,0.428571429,0.857142857,1.428571429,"Cal Poly SLO"
"Zachary Marshall","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",1,2,0,8,9,6,0.166666667,0.333333333,0,1.333333333,1.5,"Oberlin"
"Sonia Nicholson","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",15,15,4,5,9,6,2.5,2.5,0.666666667,0.833333333,1.5,"Haverford/Bryn"
"Phoebe Hulbert","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",20,17,12,0,9,6,3.333333333,2.833333333,2,0,1.5,"Haverford/Bryn"
"Opal Burruss","Division 1","Women","Division 1 Women","Carleton Syzygy",9,2,8,8,9,6,1.5,0.333333333,1.333333333,1.333333333,1.5,"Carleton"
"Mina Brown","Division 1","Women","Division 1 Women","Tufts EWO",4,2,4,7,9,5,0.8,0.4,0.8,1.4,1.8,"Tufts"
"Jeremy Long","Division 1","Men","Division 1 Men","Penn State Spank",2,2,7,2,9,5,0.4,0.4,1.4,0.4,1.8,"Penn State"
"Isabel Cody","Division 3","Women","Division 3 Women","Colorado College Zenith",9,8,4,6,9,6,1.5,1.333333333,0.666666667,1,1.5,"Colorado College"
"Ian Mccosky","Division 1","Men","Division 1 Men","Minnesota Grey Duck",5,1,11,2,9,5,1,0.2,2.2,0.4,1.8,"Minnesota"
"Henry Egan","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,0,0,9,9,8,0,0,0,1.125,1.125,"Brown"
"Ericka Edgell","Division 1","Women","Division 1 Women","Victoria Vikes",13,8,5,9,9,5,2.6,1.6,1,1.8,1.8,"Victoria"
"Declan Kervick","Division 1","Men","Division 1 Men","Vermont Chill",4,1,10,2,9,5,0.8,0.2,2,0.4,1.8,"Vermont"
"Cooper Andersen","Division 3","Men","Division 3 Men","Whitman Sweets",6,3,7,5,9,6,1,0.5,1.166666667,0.833333333,1.5,"Whitman"
"Chagall Gelfand","Division 1","Women","Division 1 Women","Carleton Syzygy",24,7,18,8,9,6,4,1.166666667,3,1.333333333,1.5,"Carleton"
"Caroline Spencer","Division 1","Women","Division 1 Women","North Carolina Pleiades",4,4,2,7,9,7,0.571428571,0.571428571,0.285714286,1,1.285714286,"North Carolina"
"Carly Atwell","Division 1","Women","Division 1 Women","Utah Spiral Jetty",20,2,26,1,9,5,4,0.4,5.2,0.2,1.8,"Utah"
"Cameron Dolbow","Division 3","Men","Division 3 Men","Carleton CHOP",8,0,7,10,9,6,1.333333333,0,1.166666667,1.666666667,1.5,"Carleton"
"Caelan McSweeney","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",7,0,14,2,9,5,1.4,0,2.8,0.4,1.8,"Massachusetts"
"Audrey Parrott","Division 1","Women","Division 1 Women","Carleton Syzygy",4,4,1,8,9,6,0.666666667,0.666666667,0.166666667,1.333333333,1.5,"Carleton"
"Atkin Arnstein","Division 1","Men","Division 1 Men","Colorado Mambird",3,2,6,4,9,7,0.428571429,0.285714286,0.857142857,0.571428571,1.285714286,"Colorado"
"Anthony Jirele","Division 1","Men","Division 1 Men","Minnesota Grey Duck",7,9,2,5,9,5,1.4,1.8,0.4,1,1.8,"Minnesota"
"Adam Wulkan","Division 1","Men","Division 1 Men","Oregon EGO",3,1,9,2,9,6,0.5,0.166666667,1.5,0.333333333,1.5,"Oregon"
"Zayna Hopkins","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",6,8,0,6,8,6,1,1.333333333,0,1,1.333333333,"Macalester"
"Wyatt Kellman","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",8,2,6,8,8,5,1.6,0.4,1.2,1.6,1.6,"Massachusetts"
"Viola Deszily","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",8,4,8,4,8,5,1.6,0.8,1.6,0.8,1.6,"USCS"
"Thalia Tzetos","Division 1","Women","Division 1 Women","Oregon Fugue",2,2,1,7,8,6,0.333333333,0.333333333,0.166666667,1.166666667,1.333333333,"Oregon"
"Taylor Betonte","Division 1","Women","Division 1 Women","Victoria Vikes",4,4,5,3,8,5,0.8,0.8,1,0.6,1.6,"Victoria"
"Sydney Merrell","Division 1","Women","Division 1 Women","Carleton Syzygy",0,3,1,4,8,6,0,0.5,0.166666667,0.666666667,1.333333333,"Carleton"
"Sophie Diliberti","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",13,6,4,11,8,6,2.166666667,1,0.666666667,1.833333333,1.333333333,"Macalester"
"Sophia Harvey","Division 1","Women","Division 1 Women","Michigan Flywheel",8,5,3,8,8,5,1.6,1,0.6,1.6,1.6,"Michigan"
