"player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game","school"
"Quinn Sumerlin","Division 3","Women","Division 3 Women","Occidental WAC",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Occidental"
"Piper Fleming","Division 1","Women","Division 1 Women","Stanford Superfly",1,0,0,0,-1,7,0.142857143,0,0,0,-0.142857143,"Stanford"
"Phoenix Adams","Division 1","Women","Division 1 Women","Oregon Fugue",10,3,4,2,-1,6,1.666666667,0.5,0.666666667,0.333333333,-0.166666667,"Oregon"
"Philomena Shuffelton-Sobe","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Macalester"
"Pearl Tulay","Division 3","Women","Division 3 Women","Middlebury Pranksters",12,4,2,5,-1,5,2.4,0.8,0.4,1,-0.2,"Middlebury"
"Owen Thoms","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",4,0,0,3,-1,6,0.666666667,0,0,0.5,-0.166666667,"Missouri S&T"
"Nora Knudsen","Division 1","Women","Division 1 Women","Stanford Superfly",1,0,0,0,-1,7,0.142857143,0,0,0,-0.142857143,"Stanford"
"Nora de Rege","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",9,6,0,2,-1,6,1.5,1,0,0.333333333,-0.166666667,"Macalester"
"Noah Gettings","Division 3","Men","Division 3 Men","Middlebury Pranksters",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2,"Middlebury"
"Noah Berube","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",7,0,4,2,-1,5,1.4,0,0.8,0.4,-0.2,"Ottawa"
"Nika Rockafeller","Division 1","Women","Division 1 Women","Vermont Ruckus",3,1,1,0,-1,6,0.5,0.166666667,0.166666667,0,-0.166666667,"Vermont"
"Nicolas Sprague","Division 1","Men","Division 1 Men","Washington University Contra",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2,"Washington University"
"Nicolas Moreira","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Richmond"
"Nico Darringer","Division 3","Men","Division 3 Men","Whitman Sweets",25,5,10,9,-1,6,4.166666667,0.833333333,1.666666667,1.5,-0.166666667,"Whitman"
"Morgan West","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Pennsylvania"
"Molly Snow","Division 3","Women","Division 3 Women","Middlebury Pranksters",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Middlebury"
"Molly Horstman Olson","Division 3","Women","Division 3 Women","Carleton Eclipse",24,12,8,3,-1,6,4,2,1.333333333,0.5,-0.166666667,"Carleton"
"Mitch Whisner","Division 3","Men","Division 3 Men","Rochester Piggies",15,3,7,4,-1,6,2.5,0.5,1.166666667,0.666666667,-0.166666667,"Rochester"
"Mira Larrance","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",27,18,6,2,-1,5,5.4,3.6,1.2,0.4,-0.2,"Lewis & Clark"
"Minh-Huy Le","Division 3","Men","Division 3 Men","Williams WUFO",4,3,0,0,-1,6,0.666666667,0.5,0,0,-0.166666667,"Williams"
"Miles Collins","Division 3","Men","Division 3 Men","Carleton CHOP",4,2,0,1,-1,6,0.666666667,0.333333333,0,0.166666667,-0.166666667,"Carleton"
"Miguel McGuire","Division 1","Men","Division 1 Men","Georgia Jojah",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Georgia"
"Michael Sun","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",2,0,1,0,-1,5,0.4,0,0.2,0,-0.2,"Pittsburgh"
"Melissa Dodson","Division 3","Women","Division 3 Women","Occidental WAC",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Occidental"
"Meagan Chau","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",4,0,1,2,-1,6,0.666666667,0,0.166666667,0.333333333,-0.166666667,"British Columbia"
"Max Hemeon","Division 1","Men","Division 1 Men","Vermont Chill",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Vermont"
"Matthew Cao","Division 1","Men","Division 1 Men","Michigan Magnum",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Michigan"
"Marley Sussman","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",1,0,0,0,-1,7,0.142857143,0,0,0,-0.142857143,"Cal Poly SLO"
"Mae Wrigley","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Wesleyan"
"Madeleine Kruckemeyer","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",4,1,0,2,-1,6,0.666666667,0.166666667,0,0.333333333,-0.166666667,"Haverford/Bryn"
"Maclain Everson-Rose","Division 3","Men","Division 3 Men","St Olaf Berzerkers",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"St Olaf"
"Lydia Mendoza","Division 1","Women","Division 1 Women","Pennsylvania Venus",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2,"Pennsylvania"
"Lucy Leary","Division 1","Women","Division 1 Women","Utah Spiral Jetty",5,1,2,1,-1,5,1,0.2,0.4,0.2,-0.2,"Utah"
"Lucinda Toppen","Division 1","Women","Division 1 Women","Vermont Ruckus",10,1,5,3,-1,6,1.666666667,0.166666667,0.833333333,0.5,-0.166666667,"Vermont"
"Lucia Neyra","Division 3","Women","Division 3 Women","Portland UPRoar",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Portland"
"Liam Griffin","Division 3","Men","Division 3 Men","St Olaf Berzerkers",3,0,2,0,-1,6,0.5,0,0.333333333,0,-0.166666667,"St Olaf"
"Liam Etelson","Division 3","Men","Division 3 Men","Carleton CHOP",4,0,2,1,-1,6,0.666666667,0,0.333333333,0.166666667,-0.166666667,"Carleton"
"Leo Devonshire","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",6,3,1,1,-1,6,1,0.5,0.166666667,0.166666667,-0.166666667,"British Columbia"
"Kolbe Bauer","Division 1","Men","Division 1 Men","Texas TUFF",3,0,2,0,-1,5,0.6,0,0.4,0,-0.2,"Texas"
"Kelsi Jones","Division 3","Women","Division 3 Women","Union Jillz",8,3,1,3,-1,6,1.333333333,0.5,0.166666667,0.5,-0.166666667,"Union"
"Katherine Romero","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"SUNY Binghamton"
"Kate Bicks","Division 3","Women","Division 3 Women","Colorado College Zenith",8,3,1,3,-1,6,1.333333333,0.5,0.166666667,0.5,-0.166666667,"Colorado College"
"Kara Higgins","Division 3","Women","Division 3 Women","Davenport Panthers",7,3,0,3,-1,5,1.4,0.6,0,0.6,-0.2,"Davenport"
"Kailani Latimer","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"UCSB"
"Jonah Barry","Division 1","Men","Division 1 Men","Carleton CUT",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2,"Carleton"
"Joel Brown","Division 1","Men","Division 1 Men","Washington University Contra",12,4,5,2,-1,5,2.4,0.8,1,0.4,-0.2,"Washington University"
"Jocelyn Richison","Division 3","Women","Division 3 Women","Davenport Panthers",15,6,4,4,-1,5,3,1.2,0.8,0.8,-0.2,"Davenport"
"Jianwei Li","Division 1","Women","Division 1 Women","Pennsylvania Venus",5,2,1,1,-1,5,1,0.4,0.2,0.2,-0.2,"Pennsylvania"
"Jessica Luu","Division 1","Women","Division 1 Women","Washington Element",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2,"Washington"
"Jasmine Lin","Division 3","Women","Division 3 Women","Richmond Red Hots",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Richmond"
"Jasmine Bowman","Division 1","Women","Division 1 Women","Utah Spiral Jetty",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2,"Utah"
"Jake Hyman","Division 1","Men","Division 1 Men","Washington University Contra",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Washington University"
"Jahiem Upchurch","Division 3","Men","Division 3 Men","Davenport Panthers",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Davenport"
"Jackson Freeman","Division 1","Men","Division 1 Men","Washington University Contra",4,1,1,1,-1,5,0.8,0.2,0.2,0.2,-0.2,"Washington University"
"Isaiah Curtis","Division 3","Men","Division 3 Men","Claremont Braineaters",9,3,4,1,-1,6,1.5,0.5,0.666666667,0.166666667,-0.166666667,"Claremont"
"Ian Rock-Jones","Division 1","Men","Division 1 Men","Carleton CUT",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Carleton"
"Ian Neal","Division 3","Men","Division 3 Men","Davenport Panthers",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Davenport"
"Henry Charbeneau","Division 1","Men","Division 1 Men","Texas TUFF",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Texas"
"Hans Frautschi","Division 3","Men","Division 3 Men","Whitman Sweets",6,2,1,2,-1,6,1,0.333333333,0.166666667,0.333333333,-0.166666667,"Whitman"
"Hannah Lute","Division 3","Women","Division 3 Women","Union Jillz",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Union"
"Hannah Kroeplin","Division 1","Women","Division 1 Women","Victoria Vikes",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2,"Victoria"
"Gwendolyn McGuire","Division 1","Women","Division 1 Women","Michigan Flywheel",2,0,1,0,-1,5,0.4,0,0.2,0,-0.2,"Michigan"
"Gretchen Pohl","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2,"Colorado State"
"Georgia Corson","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",3,1,1,0,-1,5,0.6,0.2,0.2,0,-0.2,"Lewis & Clark"
"Gabrielle Weaver","Division 3","Women","Division 3 Women","Portland UPRoar",2,1,0,0,-1,6,0.333333333,0.166666667,0,0,-0.166666667,"Portland"
"Gabriel Scheck","Division 1","Men","Division 1 Men","Michigan Magnum",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Michigan"
"Gabriel Graceffo","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Richmond"
"Gabe Borda","Division 1","Men","Division 1 Men","Georgia Jojah",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Georgia"
"Ezra Marcus-Tyler","Division 3","Men","Division 3 Men","Claremont Braineaters",5,3,1,0,-1,6,0.833333333,0.5,0.166666667,0,-0.166666667,"Claremont"
"Eugenia Chow","Division 1","Women","Division 1 Women","North Carolina Pleiades",3,2,0,0,-1,7,0.428571429,0.285714286,0,0,-0.142857143,"North Carolina"
"Emma Giamello","Division 3","Women","Division 3 Women","Portland UPRoar",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Portland"
"Ella Bolan","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",20,6,12,1,-1,6,3.333333333,1,2,0.166666667,-0.166666667,"British Columbia"
"Elk Thomas-Toth","Division 3","Men","Division 3 Men","Carleton CHOP",6,4,0,1,-1,6,1,0.666666667,0,0.166666667,-0.166666667,"Carleton"
"Elise Gautier","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",15,9,5,0,-1,6,2.5,1.5,0.833333333,0,-0.166666667,"Macalester"
"David Kimberly","Division 3","Men","Division 3 Men","Williams WUFO",2,0,0,1,-1,6,0.333333333,0,0,0.166666667,-0.166666667,"Williams"
"Daniel Zhang","Division 1","Men","Division 1 Men","North Carolina Darkside",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"North Carolina"
"Daniel Griffin","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Oklahoma Christian"
"Daisy Cuthbert","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",4,0,1,2,-1,5,0.8,0,0.2,0.4,-0.2,"UCSB"
"Connor Scott","Division 3","Men","Division 3 Men","Whitman Sweets",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Whitman"
"Colin Dunn","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2,"Oklahoma Christian"
"Cindy Zhang","Division 1","Women","Division 1 Women","Tufts EWO",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Tufts"
"Chloe Pacetti","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",4,1,2,0,-1,6,0.666666667,0.166666667,0.333333333,0,-0.166666667,"Wesleyan"
"Charlotte Harkrader","Division 3","Women","Division 3 Women","Occidental WAC",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Occidental"
"Caroline Li","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Pennsylvania"
"Camden Mah","Division 1","Men","Division 1 Men","Cal Ursa Major",8,0,1,6,-1,5,1.6,0,0.2,1.2,-0.2,"Cal"
"Caleb Griffiths","Division 1","Men","Division 1 Men","Minnesota Grey Duck",2,0,1,0,-1,5,0.4,0,0.2,0,-0.2,"Minnesota"
"Calan Kirkpatrick","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Massachusetts"
"Bridget McBride","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",7,4,0,2,-1,6,1.166666667,0.666666667,0,0.333333333,-0.166666667,"Mount Holyoke"
"Brian Bekken","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2,"Alabama-Huntsville"
"Brandon Lemens","Division 1","Men","Division 1 Men","Texas TUFF",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Texas"
"Benjamin Weinstein","Division 1","Men","Division 1 Men","Vermont Chill",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Vermont"
"Ben Thollander","Division 1","Men","Division 1 Men","Texas TUFF",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Texas"
"Ben Eichel","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",3,1,0,1,-1,6,0.5,0.166666667,0,0.166666667,-0.166666667,"Lewis & Clark"
"Annie Art","Division 3","Women","Division 3 Women","Middlebury Pranksters",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"Middlebury"
"Anna Ryan","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2,"Lewis & Clark"
"Anna Bingham","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Haverford/Bryn"
"Angelo Hernandez","Division 3","Men","Division 3 Men","Berry Bucks",1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667,"Berry"
"Andy Burris","Division 1","Men","Division 1 Men","Brown Brownian Motion",1,0,0,0,-1,8,0.125,0,0,0,-0.125,"Brown"
"Amanda Szutu","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"SUNY Binghamton"
"Aliyah Latham","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",1,0,0,0,-1,5,0.2,0,0,0,-0.2,"UCSB"
"Alex Hecht","Division 1","Women","Division 1 Women","North Carolina Pleiades",2,0,1,0,-1,7,0.285714286,0,0.142857143,0,-0.142857143,"North Carolina"
"Alanna Marte","Division 1","Women","Division 1 Women","Pennsylvania Venus",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2,"Pennsylvania"
"Adam Goldstein","Division 1","Men","Division 1 Men","Georgia Jojah",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2,"Georgia"
"Adam Ali","Division 3","Men","Division 3 Men","Carleton CHOP",2,0,1,0,-1,6,0.333333333,0,0.166666667,0,-0.166666667,"Carleton"
"Aanand Yu","Division 1","Men","Division 1 Men","NC State Alpha",2,0,1,0,-1,6,0.333333333,0,0.166666667,0,-0.166666667,"NC State"
"Zoe Williamson","Division 3","Women","Division 3 Women","Colorado College Zenith",7,2,0,3,-2,6,1.166666667,0.333333333,0,0.5,-0.333333333,"Colorado College"
"Yana Wink","Division 1","Women","Division 1 Women","Western Washington Chaos",7,1,2,2,-2,5,1.4,0.2,0.4,0.4,-0.4,"Western Washington"
"Wade Intrator","Division 3","Men","Division 3 Men","Bates Orange Whip",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Bates"
"Vivian Ross","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",6,3,0,1,-2,6,1,0.5,0,0.166666667,-0.333333333,"Haverford/Bryn"
"Tomomi Ogura","Division 1","Women","Division 1 Women","Western Washington Chaos",11,2,4,3,-2,5,2.2,0.4,0.8,0.6,-0.4,"Western Washington"
"Taro Jelinek","Division 3","Men","Division 3 Men","St Olaf Berzerkers",7,3,0,2,-2,6,1.166666667,0.5,0,0.333333333,-0.333333333,"St Olaf"
"Sydney Tellis","Division 3","Women","Division 3 Women","Richmond Red Hots",5,3,0,0,-2,6,0.833333333,0.5,0,0,-0.333333333,"Richmond"
"Sophie Hankin","Division 1","Women","Division 1 Women","Tufts EWO",10,1,6,1,-2,5,2,0.2,1.2,0.2,-0.4,"Tufts"
"Sayric Arias","Division 1","Men","Division 1 Men","Oregon State Beavers",3,0,0,1,-2,5,0.6,0,0,0.2,-0.4,"Oregon State"
"Sam Fischer","Division 3","Men","Division 3 Men","Claremont Braineaters",3,1,0,0,-2,6,0.5,0.166666667,0,0,-0.333333333,"Claremont"
"Rylie Feltner","Division 3","Women","Division 3 Women","Union Jillz",3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333,"Union"
"Rohan Patel","Division 1","Men","Division 1 Men","Washington University Contra",3,1,0,0,-2,5,0.6,0.2,0,0,-0.4,"Washington University"
"Rebecca Marshall","Division 1","Women","Division 1 Women","Carleton Syzygy",4,1,1,0,-2,6,0.666666667,0.166666667,0.166666667,0,-0.333333333,"Carleton"
"Nicky Troilo","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",6,0,3,1,-2,5,1.2,0,0.6,0.2,-0.4,"Pittsburgh"
"Monica Hoang","Division 1","Women","Division 1 Women","Washington Element",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"Washington"
"Molly Friedrichs","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333,"Macalester"
"Mechelle Chen","Division 1","Women","Division 1 Women","Georgia Athena",3,0,0,1,-2,5,0.6,0,0,0.2,-0.4,"Georgia"
"Matthew Evans","Division 3","Men","Division 3 Men","Franciscan Fatal",18,4,9,3,-2,6,3,0.666666667,1.5,0.5,-0.333333333,"Franciscan"
"Mary Francis","Division 1","Women","Division 1 Women","Utah Spiral Jetty",6,0,2,2,-2,5,1.2,0,0.4,0.4,-0.4,"Utah"
"Maple Bottinelli","Division 3","Women","Division 3 Women","Wellesley Whiptails",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Wellesley"
"Manuel Estevez","Division 3","Men","Division 3 Men","Berry Bucks",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Berry"
"Makenna Bachman","Division 3","Women","Division 3 Women","Middlebury Pranksters",5,2,0,1,-2,5,1,0.4,0,0.2,-0.4,"Middlebury"
"Lyanne Wang","Division 3","Women","Division 3 Women","Wellesley Whiptails",3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333,"Wellesley"
"Lucy Tanner","Division 1","Women","Division 1 Women","Washington Element",16,3,7,4,-2,5,3.2,0.6,1.4,0.8,-0.4,"Washington"
"Lucy Suchomel","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Grinnell"
"Lindsey Norwood","Division 3","Women","Division 3 Women","Union Jillz",10,5,1,2,-2,6,1.666666667,0.833333333,0.166666667,0.333333333,-0.333333333,"Union"
"Lily Weissman","Division 3","Women","Division 3 Women","Middlebury Pranksters",3,0,1,0,-2,5,0.6,0,0.2,0,-0.4,"Middlebury"
"Lily LeDonne","Division 1","Women","Division 1 Women","Washington Element",3,0,1,0,-2,5,0.6,0,0.2,0,-0.4,"Washington"
"Lia Schwartz","Division 1","Women","Division 1 Women","Tufts EWO",23,3,17,1,-2,5,4.6,0.6,3.4,0.2,-0.4,"Tufts"
"Leza Rooks","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",7,2,1,2,-2,6,1.166666667,0.333333333,0.166666667,0.333333333,-0.333333333,"Wesleyan"
"Leo Furr","Division 3","Men","Division 3 Men","Claremont Braineaters",4,0,0,2,-2,6,0.666666667,0,0,0.333333333,-0.333333333,"Claremont"
"Leah Demsey","Division 1","Women","Division 1 Women","Victoria Vikes",6,1,0,3,-2,5,1.2,0.2,0,0.6,-0.4,"Victoria"
"Lauren Marshall","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",7,4,1,0,-2,5,1.4,0.8,0.2,0,-0.4,"SUNY Binghamton"
"Kate Gearing","Division 1","Women","Division 1 Women","Tufts EWO",8,4,1,1,-2,5,1.6,0.8,0.2,0.2,-0.4,"Tufts"
"Julius Cohen","Division 1","Men","Division 1 Men","Michigan Magnum",9,3,3,1,-2,5,1.8,0.6,0.6,0.2,-0.4,"Michigan"
"Julia Giesenhagen","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",3,0,1,0,-2,5,0.6,0,0.2,0,-0.4,"Colorado State"
"Jonah Tannen","Division 3","Men","Division 3 Men","Carleton CHOP",9,0,4,3,-2,6,1.5,0,0.666666667,0.5,-0.333333333,"Carleton"
"Jill Analla","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Haverford/Bryn"
"Jade Bing Zalaznik","Division 3","Women","Division 3 Women","Middlebury Pranksters",5,1,0,2,-2,5,1,0.2,0,0.4,-0.4,"Middlebury"
"Jackson Forebaugh","Division 3","Men","Division 3 Men","St Olaf Berzerkers",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"St Olaf"
"Jack Huysmans","Division 3","Men","Division 3 Men","Bates Orange Whip",3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333,"Bates"
"Iris Wiedmann","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"SUNY Binghamton"
"Holly Frank","Division 3","Women","Division 3 Women","Occidental WAC",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Occidental"
"Hannah Omodt","Division 3","Women","Division 3 Women","St Olaf Vortex",8,1,5,0,-2,5,1.6,0.2,1,0,-0.4,"St Olaf"
"Griffin O'Neal-Freeman","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",20,6,10,2,-2,6,3.333333333,1,1.666666667,0.333333333,-0.333333333,"Oberlin"
"Greta Wilbur","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",5,0,0,3,-2,5,1,0,0,0.6,-0.4,"Lewis & Clark"
"Erin Ries-Juncker","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"Lewis & Clark"
"Erin Durkin","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",16,8,1,5,-2,6,2.666666667,1.333333333,0.166666667,0.833333333,-0.333333333,"Grinnell"
"Erik Arnold","Division 1","Men","Division 1 Men","Vermont Chill",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"Vermont"
"Emma Remien","Division 1","Women","Division 1 Women","Michigan Flywheel",7,3,1,1,-2,5,1.4,0.6,0.2,0.2,-0.4,"Michigan"
"Emily Lanegraff","Division 3","Women","Division 3 Women","Carleton Eclipse",3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333,"Carleton"
"Elliot Trimbur","Division 1","Men","Division 1 Men","Oregon State Beavers",3,0,0,1,-2,5,0.6,0,0,0.2,-0.4,"Oregon State"
"Ellie Martin-Tai","Division 1","Women","Division 1 Women","Western Washington Chaos",3,1,0,0,-2,5,0.6,0.2,0,0,-0.4,"Western Washington"
"Elena Korch","Division 1","Women","Division 1 Women","Western Washington Chaos",6,3,0,1,-2,5,1.2,0.6,0,0.2,-0.4,"Western Washington"
"Deborah Lancaster","Division 3","Women","Division 3 Women","Union Jillz",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Union"
"Dayna Templeton","Division 3","Women","Division 3 Women","Davenport Panthers",4,2,0,0,-2,5,0.8,0.4,0,0,-0.4,"Davenport"
"Danielle Weatherwax","Division 1","Women","Division 1 Women","California - San Diego D-Co",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"UCSD"
"Corbin Smith","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",3,1,0,0,-2,5,0.6,0.2,0,0,-0.4,"Colorado State"
"Clara Morton","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",25,3,18,2,-2,6,4.166666667,0.5,3,0.333333333,-0.333333333,"Haverford/Bryn"
"Charles Harder","Division 3","Men","Division 3 Men","Middlebury Pranksters",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"Middlebury"
"Chamonix Reynolds","Division 1","Women","Division 1 Women","Washington Element",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"Washington"
"Cameron Knox","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",5,1,1,1,-2,5,1,0.2,0.2,0.2,-0.4,"Ottawa"
"Blythe Paetkau","Division 1","Women","Division 1 Women","Victoria Vikes",6,1,1,2,-2,5,1.2,0.2,0.2,0.4,-0.4,"Victoria"
"Billie Feigin","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"SUNY Binghamton"
"Ben Noerager","Division 3","Men","Division 3 Men","Berry Bucks",8,2,1,3,-2,6,1.333333333,0.333333333,0.166666667,0.5,-0.333333333,"Berry"
"Becky Chen","Division 1","Women","Division 1 Women","Pennsylvania Venus",9,2,2,3,-2,5,1.8,0.4,0.4,0.6,-0.4,"Pennsylvania"
"Ava Zuckerman","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"SUNY Binghamton"
"Audrey Dewey","Division 3","Women","Division 3 Women","Portland UPRoar",2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333,"Portland"
"Annalise Korch","Division 3","Women","Division 3 Women","Portland UPRoar",13,4,4,3,-2,6,2.166666667,0.666666667,0.666666667,0.5,-0.333333333,"Portland"
"Anja Kottmann","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",7,5,0,0,-2,6,1.166666667,0.833333333,0,0,-0.333333333,"Haverford/Bryn"
"Ancilla Marie Inocencio","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",6,0,0,4,-2,5,1.2,0,0,0.8,-0.4,"SUNY Binghamton"
"Amelia Hayward","Division 3","Women","Division 3 Women","Middlebury Pranksters",2,0,0,0,-2,5,0.4,0,0,0,-0.4,"Middlebury"
"Allison Reilly","Division 1","Women","Division 1 Women","North Carolina Pleiades",17,2,10,3,-2,7,2.428571429,0.285714286,1.428571429,0.428571429,-0.285714286,"North Carolina"
"Ainsley Waechter","Division 1","Women","Division 1 Women","Western Washington Chaos",3,0,0,1,-2,5,0.6,0,0,0.2,-0.4,"Western Washington"
